txn_id,date,vendor,description,amount,category
1001,2024-01-01 00:00:00.000000000,Goldline Trading,Invoice payment,698769.09,Marketing
1002,2024-01-01 17:33:18.396793587,NovaTech Services,Equipment purchase,92969.23,Marketing
1003,2024-01-02 11:06:36.793587174,Peak Facilities Mgmt,Service fee,1363651.78,CapEx
1004,2024-01-03 04:39:55.190380761,Alpha Logistics,Office supplies,1813641.16,IT
1005,2024-01-03 22:13:13.587174348,BrightPath Consulting,Office supplies,23705.14,Admin
1006,2024-01-04 15:46:31.983967935,Excel Media Group,Maintenance,62738.51,Admin
1007,2024-01-05 09:19:50.380761523,Excel Media Group,Equipment purchase,535930.95,Marketing
1008,2024-01-06 02:53:08.777555110,Alpha Logistics,Invoice payment,275305.35,Marketing
1009,2024-01-06 20:26:27.174348697,Sunrise Contractors,Service fee,431403.13,OpEx
1010,2024-01-07 13:59:45.571142284,NovaTech Services,Maintenance,123060.84,CapEx
1011,2024-01-08 07:33:03.967935871,Sunrise Contractors,Equipment purchase,4985000.0,CapEx
1012,2024-01-09 01:06:22.364729458,BlueStar Procurement,Office supplies,4990000.0,IT
1013,2024-01-09 18:39:40.761523046,Zenith Supplies Ltd,Equipment purchase,488476.21,Marketing
1014,2024-01-10 12:12:59.158316633,BlueStar Procurement,Service fee,2399718.05,CapEx
1015,2024-01-11 05:46:17.555110220,Goldline Trading,,892038.0,Marketing
1016,2024-03-02 00:00:00.000000000,Peak Facilities Mgmt,Maintenance,121912.8,Marketing
1017,2024-06-16 00:00:00.000000000,Goldline Trading,,769215.29,CapEx
1018,2024-01-13 10:26:12.745490981,NovaTech Services,Maintenance,104995.85,Admin
1019,2024-01-14 03:59:31.142284569,Peak Facilities Mgmt,Consultancy retainer,1652294.44,IT
1020,2024-01-14 21:32:49.539078156,Excel Media Group,Service fee,410491.76,Admin
1021,2024-01-15 15:06:07.935871743,Alpha Logistics,Service fee,335275.03,OpEx
1022,2024-01-16 08:39:26.332665330,Peak Facilities Mgmt,,159309.75,Marketing
1023,2024-01-17 02:12:44.729458917,Peak Facilities Mgmt,Equipment purchase,2768488.35,Admin
1024,2024-01-17 19:46:03.126252505,NovaTech Services,Equipment purchase,350882.18,Admin
1025,2024-01-18 13:19:21.523046092,BlueStar Procurement,,232700.68,Marketing
1026,2024-01-19 06:52:39.919839679,Excel Media Group,Office supplies,260875.79,IT
1027,2024-01-20 00:25:58.316633266,NovaTech Services,,983097.69,CapEx
1028,2024-01-20 17:59:16.713426853,Zenith Supplies Ltd,,765409.37,Admin
1029,2024-01-21 11:32:35.110220440,Excel Media Group,Invoice payment,821673.93,OpEx
1030,2024-01-22 05:05:53.507014028,BrightPath Consulting,Consultancy retainer,844273.27,Marketing
1031,2024-01-22 22:39:11.903807615,Peak Facilities Mgmt,Maintenance,-125000.0,Admin
1032,2024-01-23 16:12:30.300601202,Sunrise Contractors,Maintenance,240476.46,CapEx
1033,2024-01-24 09:45:48.697394789,Goldline Trading,Service fee,205178.56,Marketing
1034,2024-01-25 03:19:07.094188376,Alpha Logistics,Consultancy retainer,130527.72,Admin
1035,2024-01-25 20:52:25.490981963,Peak Facilities Mgmt,Equipment purchase,1114558.74,Admin
1036,2024-01-26 14:25:43.887775551,Alpha Logistics,Maintenance,2405957.33,Admin
1037,2024-01-27 07:59:02.284569138,Goldline Trading,Invoice payment,372904.94,CapEx
1038,2024-01-28 01:32:20.681362725,Horizon Advisors,Office supplies,125462.89,OpEx
1039,2024-01-28 19:05:39.078156312,BlueStar Procurement,Consultancy retainer,128447.84,IT
1040,2024-01-29 12:38:57.474949899,BlueStar Procurement,Service fee,1173955.27,OpEx
1041,2024-01-30 06:12:15.871743487,BlueStar Procurement,Equipment purchase,1349009.61,CapEx
1042,2024-01-30 23:45:34.268537074,Sunrise Contractors,Consultancy retainer,999221.15,Marketing
1043,2024-01-31 17:18:52.665330661,BrightPath Consulting,Office supplies,163037.49,OpEx
1044,2024-02-01 10:52:11.062124248,Horizon Advisors,Consultancy retainer,626711.75,Marketing
1045,2024-02-02 04:25:29.458917835,Horizon Advisors,Maintenance,527038.41,Marketing
1046,2024-02-02 21:58:47.855711422,BlueStar Procurement,Invoice payment,614173.59,Marketing
1047,2024-02-03 15:32:06.252505010,Excel Media Group,,1634983.33,CapEx
1048,2024-02-04 09:05:24.649298597,Alpha Logistics,Invoice payment,618710.85,OpEx
1049,2024-02-05 02:38:43.046092184,Sunrise Contractors,Maintenance,1224900.71,IT
1051,2024-02-06 13:45:19.839679358,Horizon Advisors,Consultancy retainer,12500000.0,IT
1052,2024-02-07 07:18:38.236472946,NovaTech Services,Invoice payment,1140448.7,OpEx
1053,2024-02-08 00:51:56.633266533,NovaTech Services,Office supplies,49725.16,OpEx
1054,2024-02-08 18:25:15.030060120,Zenith Supplies Ltd,Service fee,273893.1,Marketing
1055,2024-02-09 11:58:33.426853707,Horizon Advisors,Office supplies,218478.09,IT
1056,2024-02-10 05:31:51.823647294,Peak Facilities Mgmt,Maintenance,169682.31,IT
1057,2024-02-10 23:05:10.220440881,Zenith Supplies Ltd,Maintenance,292812.17,Marketing
1058,2024-02-11 16:38:28.617234469,Goldline Trading,Office supplies,4165771.15,CapEx
1059,2024-02-12 10:11:47.014028056,Goldline Trading,Consultancy retainer,120722.93,IT
1060,2024-02-13 03:45:05.410821643,Goldline Trading,Maintenance,1890624.08,Marketing
1061,2024-02-13 21:18:23.807615230,BlueStar Procurement,Maintenance,35443.51,OpEx
1062,2024-02-14 14:51:42.204408817,Alpha Logistics,,267713.45,OpEx
1063,2024-02-15 08:25:00.601202404,NovaTech Services,,564745.01,IT
1064,2024-02-16 01:58:18.997995992,Alpha Logistics,,1065903.65,CapEx
1065,2024-02-16 19:31:37.394789579,BrightPath Consulting,,1285733.42,Marketing
1066,2024-02-17 13:04:55.791583166,BlueStar Procurement,,1454279.07,OpEx
1067,2024-02-18 06:38:14.188376753,BlueStar Procurement,Service fee,262212.99,CapEx
1068,2024-02-19 00:11:32.585170340,Zenith Supplies Ltd,Invoice payment,221122.54,CapEx
1069,2024-02-19 17:44:50.981963927,Excel Media Group,Maintenance,1602321.1,CapEx
1070,2024-02-20 11:18:09.378757515,BrightPath Consulting,Service fee,332050.89,Marketing
1071,2024-02-21 04:51:27.775551102,Alpha Logistics,Office supplies,65281.93,IT
1072,2024-02-21 22:24:46.172344689,BrightPath Consulting,Office supplies,80827.23,IT
1073,2024-02-22 15:58:04.569138276,Alpha Logistics,Invoice payment,111393.2,Marketing
1074,2024-02-23 09:31:22.965931864,Goldline Trading,Service fee,932608.82,CapEx
1076,2024-02-24 20:37:59.759519038,Sunrise Contractors,Equipment purchase,1246347.75,Admin
1077,2024-02-25 14:11:18.156312625,Peak Facilities Mgmt,Invoice payment,233076.27,Admin
1078,2024-02-26 07:44:36.553106212,Goldline Trading,,561187.04,Marketing
1079,2024-02-27 01:17:54.949899799,Zenith Supplies Ltd,Service fee,1130743.11,Marketing
1080,2024-02-27 18:51:13.346693387,Zenith Supplies Ltd,Invoice payment,278167.91,IT
1081,2024-02-28 12:24:31.743486974,BrightPath Consulting,,877790.17,Admin
1082,2024-02-29 05:57:50.140280561,BrightPath Consulting,Invoice payment,163916.28,Marketing
1083,2024-02-29 23:31:08.537074148,Horizon Advisors,Equipment purchase,256637.34,Marketing
1084,2024-03-01 17:04:26.933867735,Horizon Advisors,,249544.66,CapEx
1085,2024-03-02 10:37:45.330661322,Horizon Advisors,Office supplies,73588.24,CapEx
1086,2024-03-03 04:11:03.727454910,Excel Media Group,Office supplies,918464.67,Marketing
1087,2024-03-03 21:44:22.124248497,Sunrise Contractors,Consultancy retainer,218796.31,OpEx
1088,2024-03-04 15:17:40.521042084,Excel Media Group,Invoice payment,450782.92,CapEx
1089,2024-03-05 08:50:58.917835671,Goldline Trading,Office supplies,909927.3,Marketing
1090,2024-03-06 02:24:17.314629258,Excel Media Group,,864405.07,IT
1091,2024-03-06 19:57:35.711422845,Peak Facilities Mgmt,Invoice payment,1200294.69,Admin
1092,2024-03-07 13:30:54.108216433,Peak Facilities Mgmt,,381654.78,CapEx
1093,2024-03-08 07:04:12.505010020,Excel Media Group,Consultancy retainer,234462.87,Admin
1094,2024-03-09 00:37:30.901803607,Zenith Supplies Ltd,Equipment purchase,392551.37,Marketing
1095,2024-03-09 18:10:49.298597194,Peak Facilities Mgmt,Service fee,35206.93,Admin
1096,2024-03-10 11:44:07.695390781,NovaTech Services,Office supplies,50479.94,OpEx
1097,2024-03-11 05:17:26.092184368,Peak Facilities Mgmt,Service fee,60836.83,Admin
1098,2024-03-11 22:50:44.488977956,Sunrise Contractors,Service fee,99124.29,Admin
1099,2024-03-12 16:24:02.885771543,Horizon Advisors,Maintenance,805856.8,Marketing
1100,2024-03-13 09:57:21.282565130,NovaTech Services,Invoice payment,113752.63,IT
1101,2024-03-14 03:30:39.679358717,BlueStar Procurement,Equipment purchase,1000000.0,IT
1102,2024-03-14 21:03:58.076152304,Horizon Advisors,Office supplies,2000000.0,Marketing
1103,2024-03-15 14:37:16.472945892,NovaTech Services,Invoice payment,5000000.0,CapEx
1104,2024-03-16 08:10:34.869739479,Goldline Trading,Consultancy retainer,10000000.0,Admin
1105,2024-03-17 01:43:53.266533066,Sunrise Contractors,Consultancy retainer,109051.28,OpEx
1106,2024-03-17 19:17:11.663326653,Peak Facilities Mgmt,Office supplies,325085.55,IT
1107,2024-03-18 12:50:30.060120240,Excel Media Group,,106400.64,IT
1108,2024-03-19 06:23:48.456913827,Horizon Advisors,Maintenance,266052.89,IT
1109,2024-03-19 23:57:06.853707415,NovaTech Services,Service fee,1560414.75,CapEx
1110,2024-03-20 17:30:25.250501002,Sunrise Contractors,Invoice payment,33157.34,CapEx
1111,2024-03-21 11:03:43.647294589,Goldline Trading,Invoice payment,848848.04,IT
1112,2024-03-22 04:37:02.044088176,BlueStar Procurement,Office supplies,631973.92,Admin
1113,2024-03-22 22:10:20.440881763,NovaTech Services,Service fee,181457.2,Marketing
1114,2024-03-23 15:43:38.837675350,Sunrise Contractors,Service fee,50559.86,Admin
1115,2024-03-24 09:16:57.234468938,Alpha Logistics,Maintenance,492965.4,Admin
1116,2024-03-25 02:50:15.631262525,Horizon Advisors,,199937.67,Marketing
1117,2024-03-25 20:23:34.028056112,NovaTech Services,Maintenance,627195.97,IT
1118,2024-03-26 13:56:52.424849699,NovaTech Services,Service fee,457155.2,CapEx
1119,2024-03-27 07:30:10.821643286,Sunrise Contractors,Office supplies,4889831.18,IT
1120,2024-03-28 01:03:29.218436873,Goldline Trading,Office supplies,308959.83,CapEx
1121,2024-03-28 18:36:47.615230461,Horizon Advisors,Service fee,95297.01,Admin
1122,2024-03-29 12:10:06.012024048,Sunrise Contractors,Equipment purchase,578916.45,IT
1123,2024-03-30 05:43:24.408817635,Sunrise Contractors,Equipment purchase,615379.87,IT
1124,2024-03-30 23:16:42.805611222,Alpha Logistics,Consultancy retainer,3398284.7,IT
1125,2024-03-31 16:50:01.202404809,Zenith Supplies Ltd,Maintenance,1548298.07,CapEx
1126,2024-04-01 10:23:19.599198396,NovaTech Services,Office supplies,755629.6,IT
1127,2024-04-02 03:56:37.995991984,BlueStar Procurement,Equipment purchase,3972691.32,IT
1128,2024-04-02 21:29:56.392785571,BlueStar Procurement,Maintenance,74373.53,IT
1129,2024-04-03 15:03:14.789579158,Excel Media Group,Maintenance,169460.09,OpEx
1130,2024-04-04 08:36:33.186372745,Excel Media Group,Equipment purchase,110209.25,Marketing
1131,2024-04-05 02:09:51.583166332,NovaTech Services,Service fee,246541.42,IT
1132,2024-04-05 19:43:09.979959920,Alpha Logistics,Maintenance,56104.47,Marketing
1133,2024-04-06 13:16:28.376753507,Zenith Supplies Ltd,Maintenance,1147075.73,CapEx
1134,2024-04-07 06:49:46.773547094,NovaTech Services,,317002.82,Marketing
1135,2024-04-08 00:23:05.170340681,NovaTech Services,Service fee,48717.35,OpEx
1136,2024-04-08 17:56:23.567134268,Alpha Logistics,Consultancy retainer,96435.66,Admin
1137,2024-04-09 11:29:41.963927855,BrightPath Consulting,,708050.55,Marketing
1138,2024-04-10 05:03:00.360721443,Zenith Supplies Ltd,Equipment purchase,1555316.86,Admin
1139,2024-04-10 22:36:18.757515030,Excel Media Group,,8842642.7,Marketing
1140,2024-04-11 16:09:37.154308617,BlueStar Procurement,Invoice payment,34997727.86,CapEx
1141,2024-04-12 09:42:55.551102204,Excel Media Group,Invoice payment,823743.23,Marketing
1142,2024-04-13 03:16:13.947895791,Goldline Trading,Maintenance,100277.12,Marketing
1143,2024-04-13 20:49:32.344689378,Goldline Trading,Consultancy retainer,18068.59,Marketing
1144,2024-04-14 14:22:50.741482966,NovaTech Services,Equipment purchase,661038.39,CapEx
1145,2024-04-15 07:56:09.138276552,Alpha Logistics,Consultancy retainer,130690.65,CapEx
1146,2024-04-16 01:29:27.535070140,Sunrise Contractors,Consultancy retainer,237272.4,CapEx
1147,2024-04-16 19:02:45.931863728,Sunrise Contractors,,176637.48,Admin
1148,2024-04-17 12:36:04.328657314,Zenith Supplies Ltd,Invoice payment,358188.14,Admin
1149,2024-04-18 06:09:22.725450902,Goldline Trading,Maintenance,2189032.77,CapEx
1150,2024-04-18 23:42:41.122244488,BrightPath Consulting,,559933.25,Admin
1151,2024-04-19 17:15:59.519038076,Alpha Logistics,Office supplies,348728.08,CapEx
1152,2024-04-20 10:49:17.915831662,Peak Facilities Mgmt,Consultancy retainer,93575.08,CapEx
1153,2024-04-21 04:22:36.312625250,Sunrise Contractors,Service fee,35881.44,Marketing
1154,2024-04-21 21:55:54.709418838,Excel Media Group,Office supplies,213317.75,IT
1155,2024-04-22 15:29:13.106212424,Peak Facilities Mgmt,Equipment purchase,408123.94,CapEx
1156,2024-04-23 09:02:31.503006012,BlueStar Procurement,Service fee,6273813.05,IT
1157,2024-04-24 02:35:49.899799598,Horizon Advisors,Consultancy retainer,537891.3,Admin
1158,2024-04-24 20:09:08.296593186,Excel Media Group,,1932083.03,OpEx
1159,2024-04-25 13:42:26.693386774,Horizon Advisors,Service fee,209202.22,CapEx
1160,2024-04-26 07:15:45.090180360,Goldline Trading,Service fee,74800.84,OpEx
1161,2024-04-27 00:49:03.486973948,BlueStar Procurement,Office supplies,104018.58,OpEx
1162,2024-04-27 18:22:21.883767534,Peak Facilities Mgmt,Service fee,149068.45,CapEx
1163,2024-04-28 11:55:40.280561122,Excel Media Group,,10774627.24,Admin
1164,2024-04-29 05:28:58.677354710,BlueStar Procurement,,129045.45,Marketing
1165,2024-04-29 23:02:17.074148296,Sunrise Contractors,,1556163.11,OpEx
1166,2024-04-30 16:35:35.470941884,Peak Facilities Mgmt,,114188.88,IT
1167,2024-05-01 10:08:53.867735470,BrightPath Consulting,Service fee,1789343.8,CapEx
1168,2024-05-02 03:42:12.264529058,BlueStar Procurement,Service fee,788136.4,OpEx
1169,2024-05-02 21:15:30.661322644,Excel Media Group,Consultancy retainer,349774.22,Marketing
1170,2024-05-03 14:48:49.058116232,Peak Facilities Mgmt,Equipment purchase,416172.96,Marketing
1171,2024-05-04 08:22:07.454909820,Goldline Trading,,165680.82,Marketing
1172,2024-05-05 01:55:25.851703406,Horizon Advisors,Maintenance,863810.16,OpEx
1173,2024-05-05 19:28:44.248496994,Zenith Supplies Ltd,Office supplies,223580.05,OpEx
1174,2024-05-06 13:02:02.645290580,Alpha Logistics,,70374.86,CapEx
1175,2024-05-07 06:35:21.042084168,Sunrise Contractors,Office supplies,65061.85,Admin
1176,2024-05-08 00:08:39.438877756,Peak Facilities Mgmt,Consultancy retainer,573138.04,IT
1177,2024-05-08 17:41:57.835671342,Horizon Advisors,Consultancy retainer,4726222.83,CapEx
1178,2024-05-09 11:15:16.232464930,Goldline Trading,Equipment purchase,562410.57,OpEx
1179,2024-05-10 04:48:34.629258516,Excel Media Group,Invoice payment,370290.28,IT
1180,2024-05-10 22:21:53.026052104,Sunrise Contractors,Maintenance,679246.39,OpEx
1181,2024-05-11 15:55:11.422845690,BlueStar Procurement,Office supplies,3137706.3,OpEx
1182,2024-05-12 09:28:29.819639278,Excel Media Group,Maintenance,614813.19,Admin
1183,2024-05-13 03:01:48.216432866,Goldline Trading,Equipment purchase,238854.33,Admin
1184,2024-05-13 20:35:06.613226452,BlueStar Procurement,Maintenance,2325470.79,Marketing
1185,2024-05-14 14:08:25.010020040,Alpha Logistics,,841662.73,IT
1186,2024-05-15 07:41:43.406813626,BlueStar Procurement,Equipment purchase,4428776.81,IT
1187,2024-05-16 01:15:01.803607214,Alpha Logistics,Equipment purchase,582364.4,CapEx
1188,2024-05-16 18:48:20.200400802,BrightPath Consulting,Invoice payment,70494.96,IT
1189,2024-05-17 12:21:38.597194388,Horizon Advisors,Maintenance,56826.68,Marketing
1190,2024-05-18 05:54:56.993987976,Peak Facilities Mgmt,,5263948.13,OpEx
1191,2024-05-18 23:28:15.390781562,BlueStar Procurement,Office supplies,5870783.05,IT
1192,2024-05-19 17:01:33.787575150,Peak Facilities Mgmt,,337972.96,OpEx
1193,2024-05-20 10:34:52.184368736,Excel Media Group,,249002.7,Admin
1194,2024-05-21 04:08:10.581162324,NovaTech Services,Maintenance,3961631.28,Marketing
1195,2024-05-21 21:41:28.977955912,Zenith Supplies Ltd,Equipment purchase,84072.22,CapEx
1196,2024-05-22 15:14:47.374749498,Alpha Logistics,Invoice payment,115602.11,CapEx
1197,2024-05-23 08:48:05.771543086,BrightPath Consulting,Invoice payment,1161229.82,Admin
1198,2024-05-24 02:21:24.168336672,Zenith Supplies Ltd,Service fee,244774.42,IT
1199,2024-05-24 19:54:42.565130260,Sunrise Contractors,Equipment purchase,439027.44,CapEx
1200,2024-05-25 13:28:00.961923848,Peak Facilities Mgmt,Maintenance,346222.06,Marketing
1201,2024-05-26 07:01:19.358717434,BlueStar Procurement,Equipment purchase,750000.0,Admin
1202,2024-05-27 00:34:37.755511022,Goldline Trading,Invoice payment,750000.0,OpEx
1203,2024-05-27 18:07:56.152304608,Horizon Advisors,Service fee,506802.85,Marketing
1204,2024-05-28 11:41:14.549098196,BlueStar Procurement,,1162296.32,IT
1205,2024-05-29 05:14:32.945891784,Horizon Advisors,,20429.64,Admin
1206,2024-05-29 22:47:51.342685370,Goldline Trading,Consultancy retainer,411235.94,OpEx
1207,2024-05-30 16:21:09.739478958,NovaTech Services,Maintenance,124885.75,OpEx
1208,2024-05-31 09:54:28.136272544,BlueStar Procurement,Maintenance,71095.58,Admin
1209,2024-06-01 03:27:46.533066132,BrightPath Consulting,,118512.23,Admin
1210,2024-06-01 21:01:04.929859718,Goldline Trading,,268019.45,Admin
1211,2024-06-02 14:34:23.326653306,Zenith Supplies Ltd,Office supplies,1747774.48,CapEx
1212,2024-06-03 08:07:41.723446894,Peak Facilities Mgmt,Consultancy retainer,60500.74,Admin
1213,2024-06-04 01:41:00.120240480,Excel Media Group,Office supplies,463215.3,CapEx
1214,2024-06-04 19:14:18.517034068,Zenith Supplies Ltd,Consultancy retainer,214003.12,Marketing
1215,2024-06-05 12:47:36.913827654,BrightPath Consulting,Consultancy retainer,270625.27,Marketing
1216,2024-06-06 06:20:55.310621242,Sunrise Contractors,Office supplies,1990978.41,Marketing
1217,2024-06-06 23:54:13.707414830,Sunrise Contractors,Equipment purchase,991697.26,OpEx
1218,2024-06-07 17:27:32.104208416,Horizon Advisors,Office supplies,3289009.99,IT
1219,2024-06-08 11:00:50.501002004,BrightPath Consulting,Consultancy retainer,350894.71,OpEx
1220,2024-06-09 04:34:08.897795590,BlueStar Procurement,Consultancy retainer,155762.25,IT
1221,2024-06-09 22:07:27.294589178,Goldline Trading,Invoice payment,316225.79,OpEx
1222,2024-06-10 15:40:45.691382764,Horizon Advisors,Office supplies,636503.49,Admin
1223,2024-06-11 09:14:04.088176352,BrightPath Consulting,Office supplies,576574.61,OpEx
1224,2024-06-12 02:47:22.484969940,Zenith Supplies Ltd,,86978.64,OpEx
1225,2024-06-12 20:20:40.881763526,Zenith Supplies Ltd,Equipment purchase,506730.55,Marketing
1226,2024-06-13 13:53:59.278557114,NovaTech Services,Equipment purchase,623025.36,Marketing
1227,2024-06-14 07:27:17.675350700,BlueStar Procurement,Invoice payment,19311494.69,OpEx
1228,2024-06-15 01:00:36.072144288,Zenith Supplies Ltd,Service fee,7387256.04,IT
1229,2024-06-15 18:33:54.468937876,NovaTech Services,Consultancy retainer,123024.03,CapEx
1230,2024-06-16 12:07:12.865731462,Alpha Logistics,Consultancy retainer,287484.71,CapEx
1231,2024-06-17 05:40:31.262525050,BlueStar Procurement,Consultancy retainer,49258.49,CapEx
1232,2024-06-17 23:13:49.659318636,Excel Media Group,Consultancy retainer,182396.74,Admin
1233,2024-06-18 16:47:08.056112224,Peak Facilities Mgmt,Maintenance,710275.01,OpEx
1234,2024-06-19 10:20:26.452905812,Peak Facilities Mgmt,Invoice payment,2700048.87,Admin
1235,2024-06-20 03:53:44.849699398,Excel Media Group,Consultancy retainer,148208.34,CapEx
1236,2024-06-20 21:27:03.246492986,Peak Facilities Mgmt,Service fee,165840.26,OpEx
1237,2024-06-21 15:00:21.643286572,Zenith Supplies Ltd,Consultancy retainer,17660.16,CapEx
1238,2024-06-22 08:33:40.040080160,Horizon Advisors,Office supplies,346625.81,Marketing
1239,2024-06-23 02:06:58.436873746,Peak Facilities Mgmt,Invoice payment,89893.27,Marketing
1240,2024-06-23 19:40:16.833667334,Peak Facilities Mgmt,Consultancy retainer,199953.65,CapEx
1241,2024-06-24 13:13:35.230460922,NovaTech Services,Invoice payment,118742.06,CapEx
1242,2024-06-25 06:46:53.627254508,Horizon Advisors,,384080.01,Marketing
1243,2024-06-26 00:20:12.024048096,NovaTech Services,Maintenance,31678.94,Marketing
1244,2024-06-26 17:53:30.420841682,Zenith Supplies Ltd,Service fee,48992.97,IT
1245,2024-06-27 11:26:48.817635270,BlueStar Procurement,Service fee,10787198.53,IT
1246,2024-06-28 05:00:07.214428858,BrightPath Consulting,Invoice payment,64142.74,IT
1247,2024-06-28 22:33:25.611222444,Alpha Logistics,Equipment purchase,85376.11,IT
1248,2024-06-29 16:06:44.008016032,Excel Media Group,Maintenance,6957774.97,Admin
1249,2024-06-30 09:40:02.404809618,BrightPath Consulting,Office supplies,34539037.15,CapEx
1250,2024-07-01 03:13:20.801603206,Horizon Advisors,,76316.93,CapEx
1251,2024-07-01 20:46:39.198396792,Goldline Trading,Consultancy retainer,254645.22,CapEx
